id,sex,disappeared,mom,birthdate,mortality,clan,mom_disappeared,age_at_death
fitz,m,6/15/16,hel,11/30/15,lion,talek,FALSE,6.50513347
cob,u,7/11/05,im,4/23/05,human,oltukai,TRUE,2.595482546
tuli,u,1/10/12,,12/2/11,infanticide,talek,FALSE,1.281314
pz,u,12/24/93,dj,11/25/93,siblicide,talek,FALSE,0.952772074
eyr,m,2/20/94,lg,1/17/94,siblicide,talek,FALSE,1.117043121
dm,m,11/18/94,lg,9/8/94,siblicide,talek,FALSE,2.332648871
roo,u,11/24/96,lg,10/7/96,siblicide,talek,FALSE,1.577002053
entr,u,11/13/14,komo,9/18/14,siblicide,serena.s,FALSE,1.8398357
roy,u,11/25/01,jj,11/21/01,siblicide,talek,FALSE,0.1314168
arsc,u,1/4/11,silk,11/8/10,siblicide,happy.zebra,FALSE,1.9055441
pr,f,12/8/88,3,6/1/88,starvation,talek,TRUE,6.242299795
fsh,u,3/28/95,23s,3/13/95,starvation,talek,TRUE,0.492813142
thi,u,3/28/95,23s,3/13/95,starvation,talek,TRUE,0.492813142
maka,m,11/1/95,coch,3/15/95,starvation,talek,TRUE,7.589322382
cat,u,12/30/98,bb,12/3/98,starvation,talek,TRUE,0.887063655
bean,u,6/1/99,bsh,3/14/99,starvation,talek,TRUE,2.595482546
mite,f,3/29/01,gol,10/5/00,starvation,talek,TRUE,5.749486653
jade,f,4/11/01,gol,10/5/00,starvation,talek,TRUE,6.176591376
ldn,m,12/8/88,3,6/1/88,starvation,talek,TRUE,6.242299795
crk,m,12/24/97,jb,6/27/97,starvation,talek,TRUE,5.9137577
wat,f,2/1/98,jb,6/27/97,starvation,talek,TRUE,7.195071869
gren,f,11/4/00,kip,4/24/00,starvation,talek,TRUE,6.373716632
fett,u,1/21/12,guci,11/8/11,starvation,talek,FALSE,2.431211499
riga,u,1/21/12,guci,11/8/11,starvation,talek,FALSE,2.431211499
kcha,m,6/13/13,avce,3/4/13,starvation,talek,TRUE,3.318275154
acin,m,12/19/14,silk,12/22/13,starvation,happy.zebra,FALSE,11.89322382
mcu,u,4/24/05,ger,1/15/05,starvation,talek,FALSE,3.252566735
ptn,m,6/11/05,kier,11/1/04,starvation,talek,TRUE,7.293634497
clou,m,6/18/13,tpe,11/10/12,starvation,talek,TRUE,7.227926078
chim,u,3/30/13,pan,3/5/13,starvation,talek,FALSE,0.821355236
dnz,m,5/11/05,csn,8/7/04,starvation,talek,TRUE,9.100616016
pfi,m,5/11/05,csn,8/7/04,starvation,talek,TRUE,9.100616016
shap,u,5/18/14,xnon,8/1/13,starvation,talek,TRUE,9.527720739
lun,u,4/2/14,hon,1/20/14,starvation,talek,FALSE,2.36550308
cir,u,4/29/14,,10/2/13,starvation,talek,NA,6.866529774
rage,u,5/12/14,arg,12/1/13,starvation,talek,TRUE,5.32238193
sfig,u,5/13/14,obam,9/18/13,starvation,talek,TRUE,7.786447639
lazy,f,5/24/14,arg,12/1/13,starvation,talek,TRUE,5.716632444
ewar,m,4/28/14,mt,7/27/13,starvation,talek,TRUE,9.034907598
ruha,u,4/25/13,sbl,1/17/13,starvation,talek,TRUE,3.219712526
crlk,u,5/3/13,sbl,1/17/13,starvation,talek,TRUE,3.482546201
elmo,f,6/16/12,cm,10/28/11,starvation,fig.tree,TRUE,7.622176591
guav,m,11/20/17,lyco,1/31/17,lion,pond,FALSE,9.626283368
sarn,m,6/6/13,avce,3/4/13,starvation,talek,TRUE,3.088295688
edt,m,6/11/09,moss,12/10/08,starvation,serena.n,TRUE,6.012320329
muay,m,6/20/09,epy,12/1/08,starvation,serena.n,TRUE,6.603696099
jiu,m,6/25/09,epy,12/1/08,starvation,serena.n,TRUE,6.767967146
rod,f,6/27/05,pryt,4/27/05,infanticide,airstrip,FALSE,2.004106776
gmo,u,6/20/02,mlt,5/15/02,infanticide,mara.river,FALSE,1.18275154
mstm,u,5/27/17,whiz,11/3/16,infanticide,talek,FALSE,6.735112936
sals,f,3/17/01,puc,7/6/00,starvation,talek,FALSE,8.344969
icro,u,11/27/18,aqua,11/14/18,siblicide,pond,FALSE,0.4271047
clem,u,12/20/17,lyco,1/31/17,lion,pond,FALSE,10.61191
