id,sex,disappeared,mom,birthdate,mortality_source,mortality,clan,mom_disappeared,age_at_death
fabl,f,12/11/2015,atac,1/7/2015,,unknown,talek,FALSE,11.10472279
fd,f,5/23/1994,es,9/7/1993,,unknown,talek,FALSE,8.476386037
fg,f,3/15/1991,ot,3/22/1990,,unknown,talek,FALSE,11.76180698
flra,u,5/7/2015,,5/26/2014,,unknown,talek,NA,11.36755647
frm,m,12/13/2006,mre,3/1/2006,,unknown,mara.river,FALSE,9.429158111
frnc,u,5/10/1997,gol,3/24/1997,,unknown,talek,FALSE,1.544147844
frog,f,1/6/2003,atar,7/14/2002,,unknown,mara.river,FALSE,5.782340862
frst,m,4/19/1996,who,2/15/1996,,unknown,talek,FALSE,2.102669405
frza,f,12/1/2015,alfe,3/22/2015,,unknown,talek,FALSE,8.344969199
fush,m,6/14/2013,mos,12/6/2012,,unknown,talek,TRUE,6.242299795
gab,f,4/26/2002,wnd,12/24/2001,,unknown,mara.river,FALSE,4.041067762
gb,f,10/22/1988,27,11/1/1987,,unknown,talek,FALSE,11.69609856
gfi,u,7/3/2002,mlt,5/15/2002,,unknown,mara.river,FALSE,1.609856263
gho,f,4/16/1996,ot,10/16/1995,,unknown,talek,FALSE,6.012320329
gib,f,3/28/2004,inca,7/5/2003,,unknown,airstrip,FALSE,8.772073922
gor,f,4/29/2005,fig,2/9/2005,,unknown,oltukai,FALSE,2.595482546
gpt,u,1/22/2002,wr,11/28/2001,,unknown,talek,FALSE,1.80698152
grnc,m,6/29/2013,tpe,11/10/2012,,unknown,talek,TRUE,7.589322382
desl,f,6/18/2012,ffl,7/16/2011,,unknown,talek,FALSE,11.10472279
dh,m,11/10/1994,jab,7/7/1994,,unknown,talek,FALSE,4.13963039
dhu,f,12/27/2004,dte,5/25/2004,,unknown,oltukai,FALSE,7.09650924
dil,f,12/4/2004,whh,6/23/2004,,unknown,talek,TRUE,5.388090349
dlgr,,4/8/2010,cd,9/21/2009,,unknown,fig.tree,FALSE,6.53798768
dmag,u,2/18/2012,aqua,11/25/2011,,unknown,talek,FALSE,2.792607803
dqi,f,3/15/2003,gui,8/25/2002,,unknown,talek,TRUE,6.636550308
drog,f,5/3/2015,bnt,10/27/2014,,unknown,talek,FALSE,6.176591376
east,u,4/12/2004,wnd,3/9/2004,,unknown,mara.river,FALSE,1.117043121
echo,m,7/8/2012,dra,10/16/2011,,unknown,talek,TRUE,8.739219713
emer,f,4/19/1996,who,2/15/1996,,unknown,talek,FALSE,2.102669405
eml,u,1/25/1999,who,12/4/1998,,unknown,talek,FALSE,1.708418891
enou,f,7/21/2015,wran,9/8/2014,,unknown,talek,FALSE,10.38193018
ent,u,3/1/1991,es,1/16/1991,,unknown,talek,FALSE,1.445585216
etwa,u,9/29/2005,nana,9/1/2005,,unknown,mara.river,FALSE,0.919917864
ev,f,10/3/2004,,5/1/2004,,unknown,airstrip,NA,5.092402464
eve,m,4/21/1997,gil,12/23/1996,,unknown,talek,FALSE,3.909650924
gum,f,2/22/1994,dj,11/25/1993,,unknown,talek,FALSE,2.924024641
hade,u,4/13/2011,mrph,12/18/2010,,unknown,talek,TRUE,3.811088296
han,m,4/7/2003,wr,8/11/2002,,unknown,talek,FALSE,7.852156057
hawk,u,8/26/1992,gw,6/23/1992,,unknown,talek,FALSE,2.102669405
hbs,u,3/5/1994,hk,1/5/1994,,unknown,talek,FALSE,1.938398357
hck,u,10/30/1996,who,9/24/1996,,unknown,talek,FALSE,1.18275154
hds,u,4/26/1998,jab,4/15/1998,,unknown,talek,TRUE,0.361396304
helm,m,3/6/2013,yog,4/3/2012,,unknown,talek,FALSE,11.07186858
hibi,m,1/27/2016,maa,2/28/2015,,unknown,talek,FALSE,10.94045175
hick,,12/3/2005,chip,4/1/2005,,unknown,mara.river,FALSE,8.082135524
hio,f,10/5/2004,ger,1/5/2004,,unknown,talek,FALSE,9.002053388
hoth,m,5/15/2012,parc,11/25/2011,,unknown,talek,FALSE,5.650924025
humb,m,8/12/2009,ali,3/1/2009,,unknown,talek,FALSE,5.388090349
hump,u,6/8/2012,sam,8/16/2011,,unknown,talek,TRUE,9.757700205
hyd,u,4/26/2007,pan,10/25/2006,,unknown,talek,FALSE,6.012320329
hzl,f,7/17/2002,chip,3/13/2002,,unknown,mara.river,FALSE,4.13963039
igua,f,12/5/2011,hel,12/21/2010,,unknown,talek,FALSE,11.4661191
ivy,u,12/9/2011,tilt,10/25/2011,,unknown,talek,FALSE,1.478439425
jaa,u,11/12/1998,sein,11/3/1998,,unknown,talek,FALSE,0.295687885
jan,u,1/5/1998,bail,11/15/1997,,unknown,talek,FALSE,1.675564682
jaw,f,2/22/1994,dj,11/25/1993,,unknown,talek,FALSE,2.924024641
jet,f,2/23/2003,jj,6/27/2002,,unknown,talek,TRUE,7.917864476
jib,m,5/12/1999,cr,11/29/1998,,unknown,talek,FALSE,5.388090349
jim,u,1/22/2002,wr,11/28/2001,,unknown,talek,FALSE,1.80698152
jolt,u,3/16/1996,jb,1/2/1996,,unknown,talek,FALSE,2.431211499
jor,f,8/9/2004,carm,12/30/2003,,unknown,oltukai,FALSE,7.326488706
jy,m,5/2/1990,lg,8/5/1989,,unknown,talek,FALSE,8.87063655
kal,f,3/13/2007,art,8/7/2006,,unknown,talek,FALSE,7.162217659
kali,u,5/18/2004,ole,4/17/2004,,unknown,airstrip,FALSE,1.018480493
kant,u,9/3/2000,mali,7/30/2000,,unknown,talek,FALSE,1.149897331
karm,,2/3/2010,flfy,1/1/2010,unknown,unknown,fig.tree,FALSE,1.084188912
ken,f,6/25/1995,gil,12/21/1994,,unknown,talek,FALSE,6.110882957
kerm,u,12/30/1994,hob,12/28/1994,,unknown,talek,FALSE,0.065708419
kili,m,7/2/1995,gil,12/21/1994,,unknown,talek,FALSE,6.340862423
koin,u,5/15/2012,lyle,12/21/2011,,unknown,talek,TRUE,4.796714579
kopa,m,3/30/2013,cart,8/8/2012,,unknown,talek,FALSE,7.68788501
kwan,u,5/13/2014,baez,3/30/2014,,unknown,talek,FALSE,1.445585216
ky,m,5/20/1990,lg,8/5/1989,,unknown,talek,FALSE,9.46201232
lak,u,8/13/2009,cart,6/15/2009,,unknown,talek,FALSE,1.938398357
lbm,f,2/10/1994,sx,9/15/1993,,unknown,talek,FALSE,4.862422998
ldz,u,12/15/1996,bail,10/13/1996,,unknown,talek,FALSE,2.069815195
lear,m,10/1/2001,ger,8/10/2001,,unknown,talek,FALSE,1.708418891
levi,u,1/27/2010,ffl,1/13/2010,,unknown,talek,FALSE,0.459958932
lf,m,12/1/1994,who,12/10/1993,,unknown,talek,FALSE,11.69609856
lil,m,9/26/1993,bsh,6/26/1993,,unknown,talek,FALSE,3.022587269
link,u,4/29/2012,dion,10/14/2011,,unknown,talek,TRUE,6.50513347
lira,f,3/22/1996,gol,11/18/1995,,unknown,talek,FALSE,4.106776181
lj,m,11/20/2005,bsl,4/15/2005,,unknown,talek,FALSE,7.195071869
lk,u,1/16/2002,amar,11/19/2001,,unknown,talek,FALSE,1.905544148
lky,u,7/20/2005,hrp,6/1/2005,,unknown,talek,FALSE,1.609856263
loth,,2/3/2010,arw,12/20/2009,unknown,unknown,fig.tree,FALSE,1.478439425
ludi,u,11/19/2014,ali,8/5/2014,,unknown,talek,FALSE,3.482546201
mag,u,2/18/2001,ali,11/26/2000,,unknown,talek,FALSE,2.759753593
mapi,u,7/24/2008,hel,4/8/2008,,unknown,talek,FALSE,3.515400411
mba,u,12/31/2002,jut,11/14/2002,,unknown,talek,FALSE,1.544147844
mbrk,u,1/21/2005,duke,1/21/2005,,unknown,oltukai,FALSE,0
mc4,u,5/31/1996,es,4/25/1996,,unknown,talek,TRUE,1.18275154
mck,u,4/4/2002,chrm,4/1/2002,,unknown,mara.river,FALSE,0.098562628
meru,u,7/27/2003,par,6/15/2003,,unknown,talek,FALSE,1.379876797
mjv,m,9/15/2011,cen,12/24/2010,,unknown,talek,FALSE,8.706365503
mk,m,3/12/1991,bam,4/30/1990,,unknown,talek,FALSE,10.38193018
mlo,u,2/15/2004,hml,12/26/2003,,unknown,talek,FALSE,1.675564682
omo,u,1/4/2014,ted,11/27/2013,,unknown,talek,FALSE,1.248459959
ori,u,8/31/1996,sx,8/3/1996,,unknown,talek,FALSE,0.919917864
ow,u,12/28/2003,dte,12/4/2003,,unknown,oltukai,FALSE,0.788501027
pab,u,4/1/2008,atar,12/9/2007,,unknown,mara.river,FALSE,3.745379877
papa,,7/8/2008,cmta,12/9/2007,,unknown,fig.tree,FALSE,6.965092402
pat,u,11/20/2006,cam,9/5/2006,,unknown,talek,TRUE,2.496919918
pea,f,1/13/2003,chip,3/13/2002,,unknown,mara.river,FALSE,10.05338809
pedo,u,10/31/2014,ali,8/5/2014,,unknown,talek,FALSE,2.858316222
mmn,f,11/19/2005,bsl,4/15/2005,,unknown,talek,FALSE,7.162217659
mnd,m,10/25/2003,sndy,8/3/2003,,unknown,oltukai,FALSE,2.726899384
monk,m,10/30/2006,dfy,2/15/2006,,unknown,talek,TRUE,8.443531828
mrlt,u,9/7/2001,hml,7/25/2001,,unknown,talek,FALSE,1.445585216
mrx,m,3/6/1991,,9/10/1990,,unknown,talek,NA,5.815195072
mthr,u,12/4/1999,kip,11/27/1999,,unknown,talek,FALSE,0.229979466
musu,m,11/5/2011,juno,1/23/2011,,unknown,talek,FALSE,9.396303901
mzt,u,1/24/2004,mgn,6/16/2003,,unknown,airstrip,FALSE,7.293634497
nam,u,6/30/2000,cr,6/5/2000,,unknown,talek,FALSE,0.821355236
navi,u,4/16/2012,dion,10/14/2011,,unknown,talek,TRUE,6.078028747
ncl,m,1/8/2004,ath,7/26/2003,,unknown,talek,FALSE,5.453798768
neh,m,1/15/2005,sndy,10/2/2004,,unknown,oltukai,FALSE,3.449691992
nf,u,11/20/2006,cam,9/5/2006,,unknown,talek,TRUE,2.496919918
nike,u,1/28/2010,hex,11/10/2009,,unknown,talek,FALSE,2.595482546
nko,m,3/21/2004,nana,7/15/2003,,unknown,mara.river,FALSE,8.213552361
nona,u,11/10/1996,,11/4/1996,,unknown,talek,NA,0.197125257
nsi,u,2/22/1997,kip,12/15/1996,,unknown,talek,FALSE,2.266940452
oba,m,10/19/2004,ev,4/14/2004,,unknown,airstrip,TRUE,6.176591376
ok,u,10/18/2007,ffl,3/1/2007,,unknown,talek,FALSE,7.589322382
olia,u,7/12/2003,ger,1/7/2003,,unknown,talek,FALSE,6.110882957
olo,u,2/3/1999,ger,11/30/1998,,unknown,talek,FALSE,2.135523614
olp,m,11/6/2001,nana,1/1/2001,,unknown,mara.river,FALSE,10.15195072
phr,f,5/8/2004,sym,2/11/2004,,unknown,airstrip,FALSE,2.858316222
phtm,u,8/24/2009,msl,7/25/2009,,unknown,talek,FALSE,0.985626283
pic,u,4/24/1997,sx,2/2/1997,,unknown,talek,FALSE,2.661190965
pig,m,4/16/1996,lg,7/15/1995,,unknown,talek,FALSE,9.067761807
pin,m,7/8/2006,atar,12/25/2005,,unknown,mara.river,FALSE,6.406570842
pit,m,3/20/2004,atar,7/10/2003,,unknown,mara.river,FALSE,8.344969199
pita,u,12/12/2003,spw,11/1/2003,,unknown,oltukai,FALSE,1.347022587
pk,m,5/2/1990,dj,3/22/1990,,unknown,talek,FALSE,1.347022587
pla,m,3/2/2004,mali,3/7/2003,,unknown,talek,FALSE,11.86036961
plka,u,9/14/2004,puc,7/12/2004,,unknown,talek,FALSE,2.102669405
pman,f,8/11/2001,atar,11/4/2000,,unknown,mara.river,FALSE,9.199178645
png,u,9/26/2002,atar,7/14/2002,,unknown,mara.river,FALSE,2.431211499
poe,u,10/24/1996,who,9/24/1996,,unknown,talek,FALSE,0.985626283
pok,u,6/1/2008,art,4/15/2008,,unknown,talek,FALSE,1.544147844
pomo,u,4/27/2011,sam,12/22/2010,,unknown,talek,FALSE,4.13963039
ppch,m,7/27/2013,cart,8/8/2012,,unknown,talek,FALSE,11.59753593
pph,u,8/11/2005,mrph,6/23/2005,,unknown,talek,FALSE,1.609856263
prde,f,7/24/2013,arg,10/28/2012,,unknown,talek,FALSE,8.837782341
pyg,f,11/7/1994,pt,5/1/1994,,unknown,talek,FALSE,6.242299795
raf,f,9/3/1995,bm,5/1/1995,,unknown,talek,FALSE,4.106776181
rbt,u,11/7/1998,lg,11/1/1998,,unknown,talek,FALSE,0.197125257
reag,f,1/27/2009,nav,11/13/2008,,unknown,talek,FALSE,2.464065708
red,u,1/24/2006,wr,5/15/2005,,unknown,talek,FALSE,8.344969199
ride,u,12/19/2010,ali,10/14/2010,,unknown,talek,FALSE,2.168377823
rose,u,7/22/1996,bsh,6/25/1996,,unknown,talek,FALSE,0.887063655
rss,u,12/30/2005,mali,12/6/2005,,unknown,talek,FALSE,0.788501027
rtfr,u,7/2/2012,amaz,5/24/2012,,unknown,talek,FALSE,1.281314168
sach,u,1/25/2007,peeb,5/4/2006,,unknown,mara.river,FALSE,8.739219713
sah,u,3/29/2004,marn,12/12/2003,,unknown,oltukai,TRUE,3.54825462
scby,f,11/5/1994,sd,1/27/1994,,unknown,talek,FALSE,9.264887064
scrm,f,11/15/2015,tgpi,2/11/2015,,unknown,talek,FALSE,9.100616016
sde,m,4/19/2004,vic,9/20/2003,,unknown,airstrip,FALSE,6.965092402
seeg,u,6/24/2006,bail,4/6/2006,,unknown,talek,FALSE,2.595482546
shel,u,5/5/1993,es,3/9/1993,,unknown,talek,FALSE,1.872689938
sil,m,4/26/2002,back,12/13/2001,,unknown,mara.river,FALSE,4.402464066
sipi,u,1/19/2003,chw,11/7/2002,,unknown,talek,FALSE,2.39835729
sitr,u,7/25/2006,hem,2/15/2006,,unknown,talek,FALSE,5.256673511
skch,m,7/3/2011,hex,12/10/2010,,unknown,talek,FALSE,6.735112936
slth,m,8/21/2012,arg,9/6/2011,,unknown,talek,FALSE,11.49897331
smt,u,1/28/2003,dsn,10/20/2002,,unknown,mara.river,FALSE,3.285420945
sna,u,3/9/2007,mos,4/17/2006,,unknown,talek,FALSE,10.71047228
snik,u,1/28/2007,mls,10/20/2006,,unknown,mara.river,FALSE,3.285420945
soc1,u,4/7/2000,mali,3/28/2000,,unknown,talek,FALSE,0.328542094
soc2,u,4/7/2000,mali,3/28/2000,,unknown,talek,FALSE,0.328542094
spa,u,7/28/2003,nana,7/15/2003,,unknown,mara.river,FALSE,0.427104723
spee,u,1/20/2013,mono,1/20/2013,,unknown,talek,FALSE,0
spo,f,2/20/1989,bf,11/7/1988,,unknown,talek,FALSE,3.449691992
spty,m,4/4/2010,snag,12/14/2009,,unknown,fig.tree,FALSE,3.646817248
srlt,u,5/22/2010,mos,11/29/2009,,unknown,talek,FALSE,5.716632444
stb,f,7/30/2006,who,1/1/2006,,unknown,talek,FALSE,6.899383984
ste,m,8/6/1989,xs,5/15/1989,,unknown,talek,FALSE,2.726899384
tag,u,11/21/2004,whh,6/23/2004,,unknown,talek,TRUE,4.960985626
thef,u,5/8/2015,,8/8/2014,,unknown,talek,NA,8.969199179
tho,u,6/15/1999,who,5/25/1999,,unknown,talek,FALSE,0.689938398
thor,f,1/20/2003,mrph,3/8/2002,,unknown,talek,FALSE,10.4476386
thum,m,9/5/1994,bm,7/12/1994,,unknown,talek,FALSE,1.80698152
tig,m,3/17/1995,lg,9/8/1994,,unknown,talek,FALSE,6.242299795
tinu,f,1/8/1990,gw,1/12/1989,,unknown,talek,FALSE,11.86036961
tof,u,5/12/1999,mp,4/24/1999,,unknown,talek,FALSE,0.59137577
tol,m,4/28/2002,who,8/6/2001,,unknown,talek,FALSE,8.706365503
tort,u,5/27/2008,guci,4/1/2008,,unknown,talek,FALSE,1.839835729
tp,f,11/15/1991,2,6/3/1991,,unknown,talek,FALSE,5.420944559
tq,f,8/10/1991,ua,10/20/1990,,unknown,talek,FALSE,9.659137577
yat,u,2/12/2004,adon,2/4/2004,,unknown,talek,FALSE,0.262833676
zeus,m,10/20/2001,mrph,3/20/2001,,unknown,talek,FALSE,7.030800821
znf,u,12/23/2000,hml,11/18/2000,,unknown,talek,FALSE,1.149897331
zomb,u,12/24/2010,msl,10/13/2010,,unknown,talek,FALSE,2.36550308
zor,f,5/1/1990,23s,7/17/1989,,unknown,talek,FALSE,9.46201232
tt,m,6/28/1990,kb,9/1/1989,,unknown,talek,FALSE,9.856262834
tuli,u,1/23/2012,sbl,12/2/2011,,unknown,talek,FALSE,1.708418891
tus,u,5/5/1999,amar,2/12/1999,,unknown,talek,FALSE,2.694045175
twai,u,4/28/1997,who,3/3/1997,,unknown,talek,FALSE,1.839835729
vega,u,3/21/1996,sx,1/3/1996,,unknown,talek,FALSE,2.562628337
vf,f,3/5/1999,bail,12/2/1998,,unknown,talek,FALSE,3.055441478
viny,u,1/24/2004,mgn,6/16/2003,,unknown,airstrip,FALSE,7.293634497
viol,f,8/24/2012,mos,10/30/2011,,unknown,talek,FALSE,9.823408624
vns,f,11/10/1994,sx,7/10/1994,,unknown,talek,FALSE,4.041067762
vol,u,12/30/2005,mali,12/6/2005,,unknown,talek,FALSE,0.788501027
walt,u,6/15/1999,who,5/25/1999,,unknown,talek,FALSE,0.689938398
wig,f,1/31/2003,dsn,10/20/2002,,unknown,mara.river,FALSE,3.383983573
wipe,u,5/31/2015,,8/31/2014,,unknown,talek,NA,8.969199179
wk,f,6/13/1991,ua,10/20/1990,,unknown,talek,FALSE,7.753593429
wtp,u,2/20/1994,lg,1/17/1994,,unknown,talek,FALSE,1.117043121
wtrl,u,7/22/2006,com,4/15/2006,,unknown,mara.river,FALSE,3.219712526
sge,m,3/7/1995,ot,11/30/1994,,unknown,talek,FALSE,3.186858316
hemi,m,6/19/2016,decm,6/20/2015,,unknown,talek,FALSE,11.99178645
arlo,m,11/13/2001,bail,12/1/2000,,unknown,talek,FALSE,11.40041068
rizz,u,11/6/2015,aqua,8/25/2015,,unknown,talek,FALSE,2.39835729
heif,u,2/27/2014,idi,1/15/2014,,unknown,talek,FALSE,1.412731006
masng,,5/15/2012,lyle,12/21/2011,,unknown,talek,TRUE,4.796714579
ast,m,5/2/1996,sd,7/15/1995,,unknown,talek,TRUE,9.593429158
orff,m,2/18/1995,hk,7/1/1994,,unknown,talek,TRUE,7.622176591
thom,u,11/1/2006,ali,4/1/2006,,unknown,talek,FALSE,7.030800821
enl,u,12/21/2006,,1/3/2006,,unknown,talek,NA,11.56468172
rdq,m,4/25/1998,bb,8/4/1997,,unknown,talek,FALSE,8.673511294
deb,f,8/12/1996,dj,11/9/1995,,unknown,talek,FALSE,9.100616016
haw,f,1/25/1998,who,9/26/1997,,unknown,talek,FALSE,3.975359343
lucy,f,10/4/1997,bsh,9/1/1997,,unknown,talek,FALSE,1.084188912
dyl,f,11/5/1998,bail,11/15/1997,,unknown,talek,FALSE,11.66324435
rpl,f,3/17/1999,wr,11/10/1998,,unknown,talek,FALSE,4.1724846
risk,,11/29/2016,adon,6/28/2016,,unknown,talek,FALSE,5.059548255
sprl,f,12/24/2016,styr,2/14/2016,,unknown,talek,FALSE,10.31622177
figu,,11/25/2016,brgr,11/3/2016,,unknown,talek,FALSE,0.722792608
oxy,,1/10/2017,yog,10/29/2016,,unknown,talek,FALSE,2.39835729
slx,u,7/25/2000,ali,7/19/2000,,unknown,talek,FALSE,0.197125257
mgl,u,3/5/1994,bb,1/25/1994,,unknown,talek,FALSE,1.281314168
mang,u,5/15/2012,lyle,12/11/2011,,unknown,talek,TRUE,5.125256674
milo,f,4/27/2017,goof,10/6/2016,,unknown,talek,FALSE,6.669404517
hag,m,5/8/2010,lcs,12/20/2009,,unknown,serena.n,FALSE,4.566735113
hala,m,6/26/2011,saw,11/15/2010,,unknown,happy.zebra,FALSE,7.326488706
mmm,m,11/17/2011,ele,12/4/2010,,unknown,serena.n,FALSE,11.43326489
phtn,f,3/20/2010,ojy,4/29/2009,,unknown,happy.zebra,FALSE,10.67761807
stee,m,3/25/2010,koi,8/14/2009,,unknown,happy.zebra,FALSE,7.326488706
arct,m,11/11/2017,sau,1/5/2017,,unknown,serena.n,FALSE,10.18480493
tngy,m,11/10/2017,tang,2/25/2017,,unknown,serena.s,TRUE,8.476386037
stag,f,4/25/2014,jlp,1/19/2014,,unknown,serena.s,FALSE,3.154004107
hobs,m,4/16/2016,ink,10/28/2015,,unknown,serena.n,FALSE,5.618069815
prss,u,1/26/2017,tula,1/1/2017,,unknown,happy.zebra,FALSE,0.821355236
drom,u,1/26/2017,tula,1/1/2017,,unknown,happy.zebra,FALSE,0.821355236
ers,u,1/26/2017,csby,12/20/2016,,unknown,happy.zebra,FALSE,1.215605749
life,u,3/11/2017,trex,12/12/2016,,unknown,serena.n,FALSE,2.924024641
buts,u,3/11/2017,trex,12/12/2016,,unknown,serena.n,FALSE,2.924024641
rena,f,10/13/2014,bart,2/19/2014,,unknown,serena.s,TRUE,7.753593429
mati,u,12/18/2017,pol,11/20/2017,,unknown,serena.n,FALSE,0.919917864
lelo,m,6/13/2012,ao,11/2/2011,,unknown,happy.zebra,FALSE,7.359342916
malr,u,11/4/2014,mtn,7/18/2014,,unknown,serena.s,FALSE,3.58110883
tau,m,4/27/2012,ojy,10/13/2011,,unknown,happy.zebra,FALSE,6.472279261
dodo,m,6/5/2010,badg,3/11/2010,,unknown,serena.s,FALSE,2.825462012
duch,u,12/29/2015,blg,10/21/2015,,unknown,serena.s,FALSE,2.266940452
divr,u,12/29/2015,blg,10/21/2015,,unknown,serena.s,FALSE,2.266940452
jann,u,12/6/2017,rang,7/25/2017,,unknown,serena.s,FALSE,4.402464066
wins,f,5/28/2012,ao,11/2/2011,,unknown,happy.zebra,FALSE,6.833675565
nerd,m,11/22/2015,whiz,3/15/2015,,unknown,serena.s,FALSE,8.27926078
pony,u,11/4/2014,rast,9/23/2014,,unknown,serena.s,FALSE,1.379876797
song,u,11/30/2014,jlp,8/24/2014,,unknown,serena.s,FALSE,3.219712526
riat,u,11/10/2014,blg,10/14/2014,,unknown,serena.s,FALSE,0.887063655
soco,m,11/26/2011,bor,11/26/2010,,unknown,serena.s,FALSE,11.99178645
auk,m,6/5/2010,badg,3/11/2010,,unknown,serena.s,FALSE,2.825462012
thnd,m,7/20/2015,pala,9/23/2014,,unknown,serena.s,FALSE,9.856262834
boyk,m,4/22/2013,tru,1/13/2013,,unknown,serena.s,FALSE,3.252566735
